标题,价格,价格区间,品牌,笔记本类型,省份,城市,销量,店铺
联想拯救者多功能双肩包 X4适16英寸内笔记本电脑双肩包 商务办公旅行男女双肩背包,399.0,3000元以下,联想,其他类型,安徽,合肥,6.0,联想官方旗舰店
双头typec数据线pd快充ctoc车载充电器线tpyec两头tpc口适用于苹果ipad air4华为pro小米笔记本电脑平板双向5,3.33,3000元以下,华为,其他类型,浙江,杭州,700.0,天天热卖精选店
木村耀司斜挎包男士通勤挎包单肩包男款背包机能邮差包骑行电脑包,89.0,3000元以下,其他品牌,其他类型,浙江,绍兴,100.0,木村耀司旗舰店
绿联25000毫安飞机可携带140W笔记本电脑充电宝适用苹果MacBook华为联想iPad小米手机100W大功率快充移动电源,239.0,3000元以下,联想,其他类型,湖北,武汉,83.0,绿联维联特专卖店
无线鼠标静音蓝牙可充电款双模无声限笔记本电脑台式电池通用滑鼠,6.62,3000元以下,其他品牌,其他类型,广东,深圳,1000.0,僚傲旗舰店
代购IsseyMiyake三宅一生双肩包男女款大容量旅行背包菱格电脑包,1614.87,3000元以下,其他品牌,其他类型,日本,未知,47.0,蔓蔓大阪免税直邮店
机械师有线USB静音鼠标电竞电脑笔记本吃鸡办公滚轮无线滑鼠女生,59.0,3000元以下,机械革命,其他类型,广东,广州,6000.0,machenike旗舰店
Apple苹果妙控鼠标 笔记本电脑Mac无线蓝牙办公鼠标适用MACiPad,549.0,3000元以下,苹果,其他类型,上海,未知,60.0,天猫超市
2024新款笔记本电脑双肩包男156寸适用苹果16寸华为14联想y9000p华硕15手提拯救者y7000p戴尔惠普173寸背包,68.0,3000元以下,联想,其他类型,浙江,宁波,300.0,泰克森宇乐专卖店
罗技GPRO无线鼠标GPW狗屁王游戏电竞外设有线台式笔记本电脑滑鼠,449.0,3000元以下,其他品牌,游戏本,上海,未知,500.0,3C数码外设企业店
包邮速发惠普ddr4 26663200 81632g套装笔记本电脑内存条,169.01,3000元以下,惠普,其他类型,广东,广州,2000.0,惠普中国官方旗舰店
雷克沙固态硬盘NM800Pro 512GB1T2TB笔记本电脑台式机M2 SSD,343.87,3000元以下,其他品牌,其他类型,广东,深圳,47.0,雷克沙恒鑫共创专卖店
FILA FUSION斐乐潮牌情侣款背包2024春新款龙年限定双肩包电脑包,399.0,3000元以下,其他品牌,其他类型,福建,泉州,200.0,FILA FUSION官方旗舰店
睿量100W充电宝60000毫安超大容量笔记本电脑双向超级快充适用苹果MacBook华为联想平板小米户外便携移动电源,379.0,3000元以下,联想,其他类型,广东,深圳,31.0,remax睿量旗舰店
Razer雷蛇Pro无线生产力套装笔记本电脑办公蓝牙鼠标机械键盘,1999.0,3000元以下,机械革命,其他类型,江苏,苏州,300.0,雷蛇官方旗舰店
罗技大师系列MX Master3S静音无线蓝牙鼠标笔记本台式电脑办公,579.0,3000元以下,其他品牌,其他类型,安徽,合肥,400.0,罗技天利时代专卖店
无线鼠标蓝牙游戏电脑办公商务笔记本女生适用戴尔无限滑鼠2930,26.8,3000元以下,戴尔,游戏本,浙江,杭州,2.0,天天热卖精选店
联想DDR5拯救者原厂笔记本内存条升级16G 32G 64G 5600MHZ,379.0,3000元以下,联想,其他类型,上海,未知,1000.0,联想官方旗舰店
美国WP蓝牙无线鼠标电竞轻量化游戏办公台式笔记本电脑滑鼠,228.0,3000元以下,其他品牌,游戏本,广东,东莞,41.0,W&P旗舰店
男士背包新款双肩包美式休闲电脑包旅行帆布大学生初中学生书包女,139.0,3000元以下,其他品牌,其他类型,广东,广州,4000.0,新潮代旗舰店
16g1024g全新2024新款平板电脑护眼14寸官方正品ipadpro游戏办公二合一全网通5g笔记本学习机手机手写笔画画,411.8,3000元以下,其他品牌,游戏本,浙江,杭州,200.0,国货甄选旗舰店
志愿者男女双肩包大容量轻便书包通勤电脑包旅行背包简约百搭,131.56,3000元以下,其他品牌,其他类型,广东,广州,300.0,志愿者 匠心独创
2024新款头层牛皮背包女双肩大容量真皮14寸通勤电脑包学生书包软,359.0,3000元以下,其他品牌,其他类型,广东,广州,600.0,La Seine塞纳
DDR4 8G 16G 32G 2666 3200 全兼容笔记本电脑内存条三星镁光颗粒,37.0,3000元以下,其他品牌,其他类型,广东,深圳,600.0,步战士存储
倍思100w充电宝20000毫安大容量PD快充移动电源适用于苹果品牌手机华为小米65w苹果笔记本电脑Macbook联想,359.0,3000元以下,联想,其他类型,广东,东莞,1000.0,baseus倍思旗舰店
外星人Alienware 酷睿i7高配游戏本吃鸡LOL笔记本电竞本手提电脑,1594.87,3000元以下,外星人,游戏本,广东,广州,41.0,小柠檬科技数码
金士顿NV2 500G512G1T2T台式机KC3000笔记本电脑M2固态硬盘SSD,255.0,3000元以下,其他品牌,其他类型,广东,深圳,500.0,星欣达电子数码配件铺
Swiza轻薄商务14寸电脑包女双肩包百搭简约通勤上班时尚背包,239.0,3000元以下,其他品牌,轻薄本,江苏,苏州,2000.0,swiza旗舰店
笔记本电脑包双肩背包大容量女16寸防震气囊男书包大学生适用联想拯救者y9000p华为荣耀156惠普戴尔苹果173,79.0,3000元以下,联想,其他类型,河南,郑州,200.0,QINNXER旗舰店
rog月刃2 ACE无线蓝牙鼠标人体工学游戏笔记本电脑有线鼠标华硕,449.0,3000元以下,华硕,游戏本,浙江,宁波,600.0,ASUS华硕旗舰店
海外代购奢侈品男包手提包男士公文包商务真皮牛皮单肩斜挎电脑包,1374.87,3000元以下,其他品牌,其他类型,上海,未知,54.0,奢侈品包包1
可扩容双肩包超大容量书包商务出差背包行李包156寸笔记本电脑包,61.63,3000元以下,其他品牌,其他类型,河北,保定,600.0,千颜凯家箱包官方店
双肩电脑包14寸16高级感通勤旅行商务电脑背包大容量书包女大学生,118.0,3000元以下,其他品牌,其他类型,浙江,金华,400.0,丹铂箱包旗舰店
轻薄商务笔记本matebook14寸电脑包156寸休闲双肩背包男女百搭款,17.9,3000元以下,其他品牌,轻薄本,河北,保定,4000.0,蒂诗曼箱包
七匹狼双肩包男士大容量背包2024新款商务出差旅行电脑包男款书包,139.0,3000元以下,其他品牌,其他类型,湖北,武汉,200.0,七匹狼在途专卖店
联想拯救者电脑包Y7000p斜挎背包156寸游戏本笔记本r9000xr7000防水单肩包16英寸R9000pY9000p手提收纳袋,173.87,3000元以下,联想,游戏本,浙江,金华,20.0,培聚旗舰店
无限能笔记本充电宝PD100W超级快充大容量移动电源20V适用笔记本电脑平板手机闪充轻薄便携可上飞机官方正品,193.87,3000元以下,其他品牌,轻薄本,广东,东莞,1000.0,无限能国威好动力专卖店
笔记本内胆电脑包无磁扣电脑保护套适用于苹果133macbook华为matebook联想戴尔华硕内胆包14 15 16 英寸袋子,14.9,3000元以下,联想,其他类型,河南,信阳,10000.0,电麒麟旗舰店
DELL戴尔 Latitude 5290 平板电脑Windows系统二合一笔记本Win10,993.87,3000元以下,戴尔,二合一笔记本,广东,深圳,100.0,华锋数码易购
三星990PRO固态硬盘4T NVMe m2电竞游戏华硕笔记本台式机电脑SSD,879.0,3000元以下,华硕,游戏本,浙江,宁波,100.0,ASUS华硕旗舰店
罗技G502X无线游戏鼠标可充电机械混合微动csgo吃鸡笔记本电脑,799.0,3000元以下,机械革命,游戏本,湖北,武汉,400.0,好牛倌电脑硬件旗舰店
16g1024g官方2024新款平板电脑14英寸正品ipadpro吃鸡游戏画画办公二合一全网通5g笔记本学习机骁龙可插卡,255.6,3000元以下,其他品牌,游戏本,浙江,杭州,100.0,国货甄选旗舰店
NAIDUN奈盾笔记本平板电脑手提包macbookpro133air156英寸小米联想matebook14寸thinkpad华为16小新air惠普,99.0,3000元以下,联想,其他类型,广东,广州,200.0,奈盾数码配件旗舰店
手提笔记本电脑Apple苹果MacBook Air酷睿i7超薄Pro品牌折扣剪标,877.0,3000元以下,苹果,其他类型,广东,广州,20.0,小油柑数码
户外移动电源220V便携大容量停电应急小型车载自驾游备用大功率蓄电池家用摆摊笔记本电脑无线充电宝,292.87,3000元以下,其他品牌,其他类型,广东,中山,2000.0,新驰仕旗舰店
日本sunearth正品双肩包男女书包大容量背包电脑包外出妈咪包休闲,152.87,3000元以下,其他品牌,其他类型,山东,烟台,300.0,Sunearthu超会购
适用华为笔记本电脑通用无线蓝牙鼠标可充电双模静音女生办公联想,112.7,3000元以下,联想,其他类型,浙江,金华,900.0,朗特赫尔数码配件旗舰店
适用联想笔记本电脑散热底座器半导体制水冷却风扇拯救者y9000pr7000p小新x风扇游戏本1617寸华硕天选345,118.0,3000元以下,联想,游戏本,广东,广州,100.0,caibeike旗舰店
真皮双肩包男女大背包植鞣皮电脑包牛皮旅游包休闲复古手工背包男,793.87,3000元以下,其他品牌,其他类型,广东,佛山,300.0,皮薯薯
CENGE大容量双肩包轻便尼龙布出行背包高颜值通勤电脑包旅行书包,288.0,3000元以下,其他品牌,其他类型,广东,广州,100.0,CENGE 岑哥定制
新款360电竞游戏手柄适用xboxswitch电脑电视手机steam通用xbox360震动线性扳机双人成行无线有线笔记本,21.65,3000元以下,其他品牌,游戏本,浙江,杭州,200.0,国货甄选旗舰店
七匹狼双肩包男士背包新款书包时尚轻便旅行大容量通勤商务电脑包,96.03,3000元以下,其他品牌,其他类型,上海,未知,700.0,七匹狼楚雅专卖店
惠普有线键盘鼠标套装台式机办公家用笔记本电脑游戏无线,43.7,3000元以下,惠普,游戏本,浙江,杭州,400.0,国货甄选旗舰店
真皮大容量包包女2024新款托特包公文包电脑包牛皮手提单肩大包,402.87,3000元以下,其他品牌,其他类型,四川,达州,300.0,奢侈高端精品包包店
漫步者G3M PRO无线24G游戏鼠标静音电竞三模蓝牙笔记本电脑办公,253.87,3000元以下,其他品牌,游戏本,广东,广州,1000.0,漫步者广州专卖店
Dell戴尔灵越16Plus7610防蓝光3K屏16寸笔记本,5023.87,5000-7000元,戴尔,其他类型,江苏,南京,100.0,戴尔自营企业店
原创头层牛皮双肩包男复古疯马皮大容量电脑包女时尚旅行真皮背包,388.0,3000元以下,其他品牌,其他类型,广东,佛山,500.0,后步皮具
金利来2024新款男士双肩包商务大容量背包旅行办公出差电脑包男包,959.0,3000元以下,其他品牌,其他类型,广东,广州,200.0,金利来亚梦专卖店
北极狐轻便双肩包kanken学生书包电脑包大容量户外旅行背包妈咪包,109.0,3000元以下,其他品牌,其他类型,广东,广州,900.0,小淘淘海外代购折扣店
onepolar极地双肩包男女商务通勤旅行电脑包大容量户外背包休闲包,229.0,3000元以下,其他品牌,其他类型,广东,广州,500.0,onepolar旗舰店
新款双肩包时尚背包男商务男士电脑包大容量初中学生大学生书包男,78.0,3000元以下,其他品牌,其他类型,河北,保定,9000.0,爱尔绅特旗舰店
HP惠普无线鼠标蓝牙静音笔记本电脑办公双模适用ipad平板mac苹果,38.0,3000元以下,惠普,其他类型,浙江,杭州,500.0,国货甄选旗舰店
多隔层真皮牛皮男商务大容量时尚潮流简约旅行包袋双肩背包电脑包,392.87,3000元以下,其他品牌,其他类型,广东,广州,100.0,狼道langdao
GOLF潮牌双肩包男士时尚机能大容量户外旅行电脑包高中大学生书包,299.0,3000元以下,其他品牌,其他类型,广东,广州,100.0,GOLF旗舰店
高档男式2024新款大容量双肩包时尚商务旅行背包防盗笔记本电脑包,392.87,3000元以下,其他品牌,其他类型,广东,广州,90.0,鸿运背包旅行优选店
炫光G98有线静音键盘RGB女生无线办公电脑笔记本机械手感键鼠套装,49.0,3000元以下,机械革命,其他类型,广东,深圳,2000.0,敏涛数码专营
香港代购MK男士双肩背包牛皮时尚休闲大容量电脑包旅行包潮牌书包,242.87,3000元以下,其他品牌,其他类型,广东,广州,500.0,MK香港折扣店
真机械键盘鼠标套装有线青轴黑轴87104键电竞游戏电脑笔记本通用,69.6,3000元以下,机械革命,游戏本,浙江,杭州,300.0,天天特卖工厂店
Walker Shop防水商务背包男双肩包高级感电脑包书包大容量旅行包,1009.0,3000元以下,其他品牌,其他类型,广东,深圳,43.0,WalkerShop专柜正品
双肩包短途旅行大容量背包女士旅游登山电脑包初高中大学生书包男,57.9,3000元以下,其他品牌,其他类型,河北,保定,1000.0,jinshiwq旗舰店
CENGE大容量轻便双肩包瑜伽背包旅行包书包通勤电脑包健身包男女,299.0,3000元以下,其他品牌,其他类型,广东,广州,1000.0,CENGE 岑哥定制
日本SANWA无线键盘鼠标套装静音人体工学办公台式笔记本通用键鼠,289.0,3000元以下,其他品牌,其他类型,上海,未知,400.0,sanwasupply旗舰店
Walker Shop双肩包男士背包尼龙商务休闲旅行包电脑包通勤大容量,949.0,3000元以下,其他品牌,其他类型,广东,深圳,37.0,WalkerShop专柜正品
专柜正品牛津布公文包商务轻便手提包斜挎单肩包帆布男包电脑包,1322.87,3000元以下,其他品牌,其他类型,福建,龙岩,300.0,凯纳纯轻奢名品
xbox360手柄适用于微软电脑电视端steam笔记本通用usb无线游戏ns地平线双人成行游戏机摇杆科技有线主机智能,19.62,3000元以下,微软,游戏本,浙江,杭州,4000.0,天天特卖工厂店
VACK简约轻薄14寸笔记本电脑女双肩包156男商务背包133书包防水防摔减压161英寸适用苹果华为牛津布电脑包,217.87,3000元以下,华为,轻薄本,广东,广州,1000.0,vack箱包旗舰店
倍思140W充电宝24000毫安超大容量pd100w快充移动电源自带线适用苹果华为小米65w联想笔记本电脑Macbook正品,219.0,3000元以下,联想,其他类型,广东,深圳,67.0,卓选数码专营店
HP惠普有线键盘鼠标轻薄静音套装台式笔记本电脑USB办公游戏,49.9,3000元以下,惠普,轻薄本,上海,未知,100.0,天猫超市
2023秋季单肩包高品质双肩包电脑包商务休闲出价旅行通勤时尚潮流,59.0,3000元以下,其他品牌,其他类型,河北,保定,300.0,纪梵保罗旗舰店
途名男士双肩包Alpha3系列商务旅行电脑包弹道尼龙大容量背包,308.0,3000元以下,其他品牌,其他类型,广东,广州,500.0,TU I MI品牌代工直销
折叠蓝牙键盘新款无线便携轻薄静音笔记本电脑ipad手机通用可充电,199.0,3000元以下,其他品牌,轻薄本,广东,深圳,11.0,夕米旗舰店
惠普正品m2固态硬盘5001tb高速固态SSD笔记本台式电脑游戏硬盘,139.0,3000元以下,惠普,游戏本,广东,广州,1000.0,惠普中国官方旗舰店
VACK简约时尚商务电脑背包女双肩包14寸133适用小米华为苹果轻薄笔记本包161牛津布156英寸防摔防水男书包,207.87,3000元以下,华为,轻薄本,广东,广州,1000.0,vack箱包旗舰店
移族P300户外移动电源220v便携式大容量自驾游露营小型蓄电池可用数码手机投影仪笔记本电脑充电,1399.0,3000元以下,其他品牌,其他类型,广东,深圳,68.0,移族旗舰店
GOLF新款双肩包女2024简约电脑包女大容量高中大学生书包旅行背包,223.58,3000元以下,其他品牌,其他类型,广东,广州,92.0,GOLF旗舰店
新款双肩包男士真皮背包商务出差笔记本电脑包牛皮大容量旅行书包,218.0,3000元以下,其他品牌,其他类型,广东,广州,300.0,GDN男士皮具
Korin防盗背包防割男士商务出差旅行双肩包通勤防水电脑包书包女,599.0,3000元以下,其他品牌,其他类型,广东,广州,300.0,潮流品牌箱包直销店
适用华为HUAWEI笔记本电脑包14寸smatebook女13男士pro15点6x手提D女款16s内胆16matebookD男SE女LC,59.0,3000元以下,华为,其他类型,浙江,宁波,700.0,捷视罗旗舰店
商务会议男士双肩背包定制logo 大容量通勤笔记本电脑背包女印字,168.0,3000元以下,其他品牌,其他类型,河北,保定,500.0,铭图箱包高端定制
Razer雷蛇黑寡妇V3竞技版机械键盘巴塞V3电竞鼠标幻彩RGB游戏套装,1099.0,3000元以下,机械革命,游戏本,江苏,苏州,300.0,雷蛇官方旗舰店
韩国正品KANGOL袋鼠托特包女大容量单肩包大学生上班通勤包电脑包,103.0,3000元以下,其他品牌,其他类型,广东,广州,100.0,KANGOI专柜正品
视频会议全向麦克风音响一体会议室话筒远程语音拾音桌面扬声器收音降噪蓝牙无线USB电脑笔记本直播系统设备,762.87,3000元以下,其他品牌,其他类型,广东,深圳,300.0,pusenter浦神特旗舰店
远程win10系统重装电脑维修win7笔记本系统win10纯净版win11原版,5.0,3000元以下,其他品牌,其他类型,广东,广州,100.0,蓝校长旗舰店
日系大容量双肩包156寸电脑包男女大学生书包短途旅行背包时尚,94.76,3000元以下,其他品牌,其他类型,山东,烟台,1000.0,Sunearthu超会购
法国MKPREF帆布双肩包男背包简约潮女大学生书包休闲旅行包电脑包,228.0,3000元以下,其他品牌,其他类型,福建,厦门,200.0,法国MKPREF折扣店
质感高级专柜正版多用双肩包手提单肩斜挎背包防水大容量电脑包,177.0,3000元以下,其他品牌,其他类型,江西,上饶,1000.0,妞妞 全球购
